tract,Unemployment Rate,Median Household Income,poverty_rate,community_name,Population,home_value,home_change,Bachelor's Degrees
230600,22.30%,"$31,433.00 ",38.0%,HUMBOLDT PARK,"7,706 (+127)","$179,500",6%,9.6% of adults (3.7% had bachelor's degrees in 2000)
231200,19.70%,"$27,162.00 ",39.0%,HUMBOLDT PARK,"5,078 (-2,374)","$134,800",-5%, 5% of adults (7.1% had bachelor's degrees in 2000)
231500,21.10%,"$31,654.00 ",37.7%,HUMBOLDT PARK,"6,204 (-1,379)","$166,800",27%,5.4% of adults (5.1% had bachelor's degrees in 2000)
251300,26.70%,"$39,004.00 ",28.7%,AUSTIN,"4,693 (-1,466)","$146,600",-1%,8.3% of adults (7.7% had bachelor's degrees in 2000)
251500,26.40%,"$37,195.00 ",35.1%,AUSTIN,"4,202 (-1,314)","$166,000",7%,7.4% of adults (5.2% had bachelor's degrees in 2000)
251800,24.90%,"$29,911.00 ",35.8%,AUSTIN,"4,932 (-1,247)","$176,900",11%,5.8% of adults (5.1% had bachelor's degrees in 2000)
251900,31.50%,"$25,536.00 ",46.7%,AUSTIN,"5,986 (-1,344)","$114,100",-31%,5.4% of adults (3.8% had bachelor's degrees in 2000)
260200,26.90%,"$26,641.00 ",46.2%,WEST GARFIELD PARK,"1,042 (-399)","$193,800",67%,0.9% of adults (8.2% had bachelor's degrees in 2000)
260600,24.30%,"$26,719.00 ",51.5%,WEST GARFIELD PARK,"2,830 (-530)","$213,400",27%,9.3% of adults (4.3% had bachelor's degrees in 2000)
270500,25.90%,"$19,205.00 ",58.6%,EAST GARFIELD PARK,"1,848 (+411)","$183,100",-4%,13% of adults (5.4% had bachelor's degrees in 2000)
271200,20.00%,"$19,063.00 ",47.9%,EAST GARFIELD PARK,"1,432 (+138)","$113,900",-22%,5.4% of adults (7.5% had bachelor's degrees in 2000)
271300,20.10%,"$23,456.00 ",48.4%,EAST GARFIELD PARK,"1,165 (-55)","$170,800",39%,13.3% of adults (2% had bachelor's degrees in 2000)
271800,21.60%,"$18,884.00 ",63.1%,EAST GARFIELD PARK,903 (-313),"$156,300",45%,12.5% of adults (5.4% had bachelor's degrees in 2000)
280400,38.50%,"$11,176.00 ",52.3%,NEAR WEST SIDE,"1,136 (-333)","$223,800",-2%,21.6% of adults (11.2% had bachelor's degrees in 2000)
280900,27.00%,"$21,453.00 ",46.7%,NEAR WEST SIDE,827 (-410),"$265,200",64%,23% of adults (2.5% had bachelor's degrees in 2000)
290900,20.60%,"$22,067.00 ",48.8%,NORTH LAWNDALE,"3,938 (-653)","$153,900",32%,5.3% of adults (2.9% had bachelor's degrees in 2000)
291200,30.50%,"$24,125.00 ",43.1%,NORTH LAWNDALE,"2,317 (-710)","$144,700",-21%,10.8% of adults (3% had bachelor's degrees in 2000)
292200,21.60%,"$26,382.00 ",45.4%,NORTH LAWNDALE,"3,065 (-80)","$163,700",19%,9.5% of adults (15.3% had bachelor's degrees in 2000)
292500,22.50%,"$36,198.00 ",36.9%,NORTH LAWNDALE,"4,180 (-1,414)","$159,000",22%,8.2% of adults (11.3% had bachelor's degrees in 2000)
301200,20.90%,"$31,058.00 ",34.7%,SOUTH LAWNDALE,"3,533 (-1,260)","$162,800",-7%,10.3% of adults (3.3% had bachelor's degrees in 2000)
340600,51.80%,"$13,947.00 ",62.8%,ARMOUR SQUARE,"1,266 (-53)",N/A,N/A,1.4% of adults (1.4% had bachelor's degrees in 2000)
350100,10.10%,"$56,637.00 ",30.3%,DOUGLAS,"1,940 (-373)",N/A,N/A,64.5% of adults (39% had bachelor's degrees in 2000)
351100,27.10%,"$11,797.00 ",74.2%,DOUGLAS,"1,880 (-2,878)",N/A,N/A,8.7% of adults (6.5% had bachelor's degrees in 2000)
351400,37.60%,"$20,329.00 ",60.9%,DOUGLAS,"1,437 (+14)","$224,200",51%,8.3% of adults (18.5% had bachelor's degrees in 2000)
351500,23.50%,"$42,692.00 ",31.1%,DOUGLAS,"311 (-1,904)","$241,700",-69%,57.3% of adults (2% had bachelor's degrees in 2000)
380100,22.00%,"$29,688.00 ",42.0%,GRAND BOULEVARD,"1,949 (+609)","$243,800",57%,29.6% of adults (13.2% had bachelor's degrees in 2000)
380500,29.90%,"$21,875.00 ",49.0%,GRAND BOULEVARD,841 (-371),N/A,N/A,9.6% of adults (1.4% had bachelor's degrees in 2000)
381400,28.20%,"$28,854.00 ",34.8%,GRAND BOULEVARD,"1,687 (+416)","$168,800",-22%,20.2% of adults (3.2% had bachelor's degrees in 2000)
390300,21.60%,"$24,844.00 ",39.6%,KENWOOD,"2,900 (+159)","$231,300",1%,21.3% of adults (13.5% had bachelor's degrees in 2000)
400300,22.60%,"$43,125.00 ",39.9%,WASHINGTON PARK,"1,404 (-246)","$188,200",34%,21.4% of adults (1.9% had bachelor's degrees in 2000)
400400,38.50%,"$27,742.00 ",39.7%,WASHINGTON PARK,"1,604 (-305)","$106,300",-56%,17.6% of adults (7.1% had bachelor's degrees in 2000)
400500,40.00%,"$21,765.00 ",55.2%,WASHINGTON PARK,"2,338 (-166)","$166,300",5%,11.4% of adults (4.8% had bachelor's degrees in 2000)
400800,27.70%,"$20,184.00 ",56.3%,WASHINGTON PARK,"2,884 (-631)","$69,000",-44%,4.8% of adults (5.1% had bachelor's degrees in 2000)
420500,23.70%,"$40,929.00 ",45.9%,WOODLAWN,"2,228 (-1,108)","$199,400",37%,11.5% of adults (7.6% had bachelor's degrees in 2000)
420600,45.70%,"$17,536.00 ",66.4%,WOODLAWN,"1,607 (-1,446)","$115,000",-15%,14.1% of adults (9.7% had bachelor's degrees in 2000)
420700,33.30%,"$24,063.00 ",50.9%,WOODLAWN,"2,995 (-1,463)"," $115,000",2%,8.6% of adults (10.5% had bachelor's degrees in 2000)
420800,26.00%,"$23,611.00 ",40.7%,WOODLAWN,"2,294 (-270)","$220,600",22%,16.2% of adults (7.9% had bachelor's degrees in 2000)
430101,28.60%,"$29,159.00 ",30.7%,SOUTH SHORE,"4,233 (-570)","$273,300",43%,26.1% of adults (22.8% had bachelor's degrees in 2000)
430200,21.50%,"$32,614.00 ",36.8%,SOUTH SHORE,"4,467 (-880)","$237,500",-29%,20.1% of adults (24.6% had bachelor's degrees in 2000)
430300,27.30%,"$26,250.00 ",45.9%,SOUTH SHORE,"2,410 (-542)","$123,500",-26%,15.9% of adults (9% had bachelor's degrees in 2000)
430400,28.10%,"$26,250.00 ",51.6%,SOUTH SHORE,"3,265 (-180)","$149,100",9%,17.9% of adults (11.8% had bachelor's degrees in 2000)
430600,11.30%,"$37,885.00 ",28.3%,SOUTH SHORE,"1,774 (-178)","$208,900",-16%,28% of adults (20% had bachelor's degrees in 2000)
430900,22.30%,"$24,792.00 ",38.5%,SOUTH SHORE,"1,445 (-407)","$172,700",14%,28.8% of adults (15.3% had bachelor's degrees in 2000)
431301,29.80%,"$22,940.00 ",35.5%,SOUTH SHORE,"3,115 (-1,709)","$116,600",-12%,20.9% of adults (9.7% had bachelor's degrees in 2000)
431302,27.50%,"$28,294.00 ",35.4%,SOUTH SHORE,"3,343 (-1,618)","$122,100",-7%,14.9% of adults (9.7% had bachelor's degrees in 2000)
440201,19.30%,"$41,579.00 ",31.5%,CHATHAM,"5,555 (-87)","$161,000",-8%,21.8% of adults (21.4% had bachelor's degrees in 2000)
460100,22.40%,"$33,313.00 ",28.1%,SOUTH CHICAGO,"3,389 (-1,323)","$99,600",-9%,14.1% of adults (14.3% had bachelor's degrees in 2000)
460200,21.90%,"$29,292.00 ",42.4%,SOUTH CHICAGO,"2,422 (-953)","$139,700",30%,5.2% of adults (5.3% had bachelor's degrees in 2000)
460301,18.10%,"$42,434.00 ",28.3%,SOUTH CHICAGO,"3,101 (-1,252)","$101,400",-13%,13.3% of adults (9.1% had bachelor's degrees in 2000)
460302,36.30%,"$29,922.00 ",41.6%,SOUTH CHICAGO,"3,348 (-1,175)","$113,400",-3%,12.6% of adults (9.1% had bachelor's degrees in 2000)
460400,16.50%,"$56,313.00 ",19.2%,SOUTH CHICAGO," 3,308 (-897)","$175,800",35%,24.6% of adults (19.2% had bachelor's degrees in 2000)
460500,15.60%,"$43,634.00 ",16.3%,SOUTH CHICAGO,"4,899 (-2,094)","$143,300",2%,23.2% of adults (21.1% had bachelor's degrees in 2000)
470100,21.50%,"$37,623.00 ",35.7%,BURNSIDE,"2,837 (-457)","$122,100",12%,11.1% of adults (12.1% had bachelor's degrees in 2000)
490901,24.90%,"$46,055.00 ",25.8%,ROSELAND,"3,950 (-820)","$147,500",14%,16.1% of adults (15.7% had bachelor's degrees in 2000)
491300,40.30%,"$20,682.00 ",55.7%,ROSELAND,"2,415 (-1,420)","$85,300",-19%,12.6% of adults (9.6% had bachelor's degrees in 2000)
491400,27.20%,"$25,458.00 ",41.5%,ROSELAND,"2,678 (-1,114)","$96,800",-27%,12.7% of adults (7.8% had bachelor's degrees in 2000)
500100,14.10%,"$50,697.00 ",23.0%,PULLMAN,"3,312 (-1,288)","$136,200",18%,14.6% of adults (10.7% had bachelor's degrees in 2000)
500200,31.10%,"$42,798.00 ",30.9%,PULLMAN,"2,098 (-264)","$98,800",-16%,22.2% of adults (3.1% had bachelor's degrees in 2000)
500300,14.10%,"$34,440.00 ",16.5%,PULLMAN,"1,524 (-435)","$141,100",15%,33.5% of adults (22.5% had bachelor's degrees in 2000)
520200,20.00%,"$35,659.00 ",39.2%,EAST SIDE,"3,607 (-682)","$104,500",-12%,10.3% of adults (3.2% had bachelor's degrees in 2000)
530200,29.00%,"$27,988.00 ",45.9%,WEST PULLMAN,"5,736 (-1,276)","$116,100",14%,6.7% of adults (4.5% had bachelor's degrees in 2000)
530502,38.60%,"$37,250.00 ",31.4%,WEST PULLMAN,"1,428 (-574)","$141,800",21%,18% of adults 13.2% had bachelor's degrees in 2000)
