tract,total_crimes
839100,4807
320100,3090
231500,1963
842400,1946
320400,1735
231200,1724
841900,1572
81500,1552
838700,1521
81700,1431
843000,1363
833000,1354
81800,1316
251800,1265
252202,1252
330100,1252
842200,1185
980000,1178
834200,1111
81403,1102
251900,1081
710800,1055
252102,1042
440101,1034
260700,1025
230600,1012
710200,1007
290900,964
841500,953
680900,936
431302,929
491000,919
837800,911
252000,908
660600,908
81201,903
430200,900
440201,893
831400,891
431400,874
842900,853
510300,848
260800,832
839000,828
540101,827
835000,825
241400,822
750500,822
660900,814
251500,811
671500,805
834300,805
80400,791
710500,788
431301,786
490902,784
530200,784
81401,782
440102,778
833100,776
460500,769
81600,764
691200,763
420700,750
690400,749
710400,734
430101,732
842100,730
530501,727
260200,727
681100,718
491400,711
430500,709
251100,703
661000,700
842500,696
250700,695
842300,693
10202,692
672000,690
530503,687
681000,686
836700,680
730201,676
691400,676
691100,674
837300,671
440300,665
830700,658
280100,655
71500,654
270500,651
292500,648
843100,646
251200,645
261000,645
690900,644
490800,639
831100,638
838800,633
834000,633
281900,629
834600,628
10100,627
836800,622
81300,622
843900,622
260500,614
610300,611
291200,610
681400,607
251600,602
230700,598
251300,598
440202,595
660800,594
252201,587
251400,586
835600,581
460400,577
460302,575
681300,575
292200,568
836600,564
681200,564
430400,563
691300,562
842800,560
690300,560
400800,556
540102,555
62100,552
830900,551
491300,551
450300,548
730500,547
31200,544
711000,544
835900,541
530300,540
730400,538
480400,538
260600,538
460100,535
490901,533
691500,532
530600,528
841000,527
650500,527
841100,526
842600,524
836100,520
81100,520
250400,518
710700,516
834900,515
10201,511
700501,510
832600,510
834800,506
500200,504
250800,503
843600,502
710900,497
351000,496
400300,496
711400,495
838600,493
20802,487
671600,487
241500,485
711200,482
671300,479
834700,476
750600,473
81000,472
430300,471
420600,470
691000,469
243500,469
420800,466
292400,465
260300,463
320600,462
837100,459
831300,458
251700,457
831500,456
250600,454
31700,453
150200,452
63000,452
260100,447
838100,445
250300,443
841300,443
838200,442
32100,440
260900,440
490700,439
837000,439
831600,439
670800,438
491100,436
80300,430
271200,428
191100,427
550100,427
431200,425
460700,424
833900,422
80202,420
750100,418
500100,418
271300,414
700100,410
837400,407
839600,406
832500,406
220602,406
841200,405
10300,403
310600,403
30500,402
470100,401
630300,401
670700,400
490600,398
700401,396
400500,391
260400,390
835100,390
710600,389
250200,388
841400,388
843400,388
230900,387
834400,387
150300,387
301802,386
661100,385
460301,383
190800,383
140702,382
191200,381
300800,380
838000,378
660700,376
430102,375
730700,375
660400,372
40202,372
381400,369
242600,369
81402,369
440900,368
400400,368
330200,368
835500,368
20500,367
480500,365
841800,363
300700,362
730202,361
980100,361
70200,359
660302,359
390300,357
840700,357
830600,355
421200,353
191302,352
530100,349
70700,348
71200,347
680600,347
252101,345
570300,345
20901,342
843300,342
730600,341
240900,341
671400,340
611300,339
630800,338
611900,337
10600,337
282700,336
221300,332
190602,330
650200,330
200100,329
680500,328
20702,327
671100,327
831800,326
711100,325
71100,323
271400,323
280400,320
300900,319
351400,318
71400,317
842000,316
63100,316
250500,316
410800,315
62000,313
300600,313
832000,313
834500,312
671200,312
630400,312
831200,311
843200,310
151100,309
350400,309
130100,307
171000,305
670200,305
830500,304
843500,303
461000,303
836900,303
151002,303
390700,302
670100,301
670300,301
491200,300
430600,300
200200,300
61000,299
60900,299
580400,296
70300,296
490500,295
710300,295
832300,295
190300,295
31400,295
650301,294
160400,294
839200,293
620300,293
40201,292
500300,291
210501,291
630500,290
381800,290
10702,287
110502,287
711500,286
660500,285
390400,284
420500,284
20601,283
700200,283
63400,283
650400,283
140400,283
530400,282
460200,279
242000,279
140602,279
161300,278
730300,278
271800,277
160800,276
670400,276
190402,275
580501,275
840400,275
220702,274
191301,274
20801,274
251000,273
831700,272
140200,272
580600,271
700302,270
20200,269
700301,269
611200,269
220500,269
340600,268
670500,268
241600,268
440800,268
242100,267
836400,267
611700,267
310800,266
190702,264
710100,264
560300,263
700402,263
30200,261
580700,261
611800,261
210602,260
190200,260
130300,260
140800,259
241000,259
180100,258
31502,258
671900,258
381200,257
