tract,community_name,poverty_rate,home_value,home_change,total_crimes,crimes_per_1000,pop_12_17,pop_change,median_income,unemployment,assoc_degree_or_higher
843600,GRAND BOULEVARD,30%,"$250,500",20%,502,177.9,"2,822",-9%,"$35,714",25%,34%
843300,NORTH LAWNDALE,46%,"$117,100",-35%,342,159.5,"2,144",13%,"$47,829",15%,13%
843000,NORTH LAWNDALE,51%,"$138,100",-1%,1363,506.9,"2,689",-3%,"$18,036",16%,12%
842900,NEAR WEST SIDE,42%,"$191,200",27%,853,416.1,"2,050",-51%,"$21,325",8%,18%
842100,HUMBOLDT PARK,31%,"$187,200",28%,730,95.3,"7,664",0%,"$33,945",14%,13%
841800,GREATER GRAND CROSSING,31%,"$118,800",8%,363,131.7,"2,756",-14%,"$36,250",26%,20%
841500,NORTH LAWNDALE,58%,"$185,000",39%,953,325,"2,932",-19%,"$24,858",20%,14%
841400,NORTH LAWNDALE,47%,"$114,600",-15%,388,326.3,"1,189",-31%,"$29,338",14%,17%
841000,NEAR SOUTH SIDE,16%,"$264,000",481%,527,600.2,878,-57%,"$63,125",5%,61%
838800,SOUTH DEERING,49%,"$126,400",24%,633,179.5,"3,526",-5%,"$19,155",24%,8%
838700,NORTH LAWNDALE,55%,"$175,300",33%,1521,328.4,"4,631",-6%,"$22,742",26%,11%
838600,NORTH LAWNDALE,62%,"$228,000",-50%,493,336.1,"1,467",13%,"$14,850",19%,8%
837000,EAST GARFIELD PARK,49%,"$204,300",69%,439,216.5,"2,028",-11%,"$29,911",17%,26%
836900,EAST GARFIELD PARK,41%,"$111,200",-47%,303,213.1,"1,422",3%,"$26,458",23%,15%
836100,WASHINGTON PARK,44%,"$151,300",17%,520,240.4,"2,163",-24%,"$25,462",22%,16%
836000,GRAND BOULEVARD,34%,"$280,300",18%,250,93.1,"2,685",-2%,"$60,368",20%,35%
835900,GRAND BOULEVARD,47%,"$197,400",-25%,541,170.7,"3,170",5%,"$18,856",28%,15%
835500,FULLER PARK,36%,"$115,400",14%,368,254.8,"1,444",-28%,"$20,517",26%,17%
835000,CHICAGO LAWN,40%,"$114,500",-17%,825,147.9,"5,579",-18%,"$26,926",24%,8%
834900,WEST ENGLEWOOD,47%,"$97,100",-13%,515,277,"1,859",-36%,"$18,401",29%,7%
834800,ENGLEWOOD,46%,"$120,200",24%,506,323.1,"1,566",-46%,"$20,559",37%,10%
834700,ENGLEWOOD,57%,"$88,400",1%,476,272.3,"1,748",-40%,"$21,802",29%,9%
834600,ENGLEWOOD,42%,"$121,700",26%,628,247.7,"2,535",-51%,"$21,196",37%,6%
834500,WASHINGTON PARK,48%,"$156,600",55%,312,245.1,"1,273",-26%,"$31,483",28%,23%
834400,WOODLAWN,29%,"$204,300",63%,387,86.2,"4,487",30%,"$38,233",13%,33%
834300,AVALON PARK,22%,"$169,100",24%,805,126.1,"6,384",-10%,"$34,140",18%,23%
834200,SOUTH SHORE,37%,"$168,800",11%,1111,257.8,"4,310",-28%,"$33,835",15%,27%
834000,ROSELAND,25%,"$144,900",19%,633,214.1,"2,956",-26%,"$34,864",19%,21%
750600,MORGAN PARK,36%,"$146,700",16%,473,138.1,"3,426",-24%,"$34,470",18%,21%
711400,AUBURN GRESHAM,37%,"$130,500",4%,495,204.2,"2,424",-18%,"$37,434",18%,17%
711000,AUBURN GRESHAM,28%,"$109,600",-11%,544,175.6,"3,098",-23%,"$33,664",19%,15%
710500,AUBURN GRESHAM,34%,"$162,200",6%,788,184.6,"4,268",-14%,"$30,793",20%,17%
710300,AUBURN GRESHAM,30%,"$117,200",-3%,295,204.3,"1,444",-11%,"$33,281",36%,15%
710200,AUBURN GRESHAM,41%,"$133,100",6%,1007,204.5,"4,925",-15%,"$26,934",26%,15%
710100,AUBURN GRESHAM,59%,"$118,800",-30%,264,222.2,"1,188",-19%,"$15,524",41%,14%
691500,GREATER GRAND CROSSING,39%,"$120,100",2%,532,264.3,"2,013",-15%,"$20,027",34%,13%
691400,GREATER GRAND CROSSING,23%,"$140,500",7%,676,240.8,"2,807",-33%,"$28,813",12%,18%
691300,GREATER GRAND CROSSING,23%,"$155,500",16%,562,206.5,"2,721",4%,"$40,658",34%,20%
691100,GREATER GRAND CROSSING,45%,"$157,300",34%,674,204,"3,304",-16%,"$19,125",29%,14%
691000,GREATER GRAND CROSSING,22%,"$141,300",-12%,469,191.9,"2,444",-18%,"$49,297",17%,30%
690300,GREATER GRAND CROSSING,54%,"$119,000",14%,560,234,"2,393",-13%,"$19,904",19%,10%
681300,ENGLEWOOD,35%,"$150,900",35%,575,247.3,"2,325",-35%,"$25,735",38%,13%
681200,ENGLEWOOD,43%,"$105,100",18%,564,211.7,"2,664",-30%,"$23,302",36%,12%
681000,ENGLEWOOD,51%,"$136,400",41%,686,279.1,"2,458",-43%,"$15,201",24%,10%
680900,ENGLEWOOD,50%,"$172,500",158%,936,297.8,"3,143",-32%,"$15,612",27%,11%
680600,ENGLEWOOD,56%,"$108,800",16%,347,217.7,"1,594",-17%,"$24,464",36%,9%
680500,ENGLEWOOD,66%,"$108,300",6%,328,238.5,"1,375",-38%,"$23,354",41%,10%
671800,WEST ENGLEWOOD,37%,"$90,300",-10%,241,186.5,"1,292",-32%,"$35,962",24%,12%
671600,WEST ENGLEWOOD,32%,"$85,000",-22%,487,254,"1,917",-37%,"$23,203",36%,4%
671500,WEST ENGLEWOOD,44%,"$88,100",-15%,805,298.1,"2,700",-38%,"$28,403",30%,8%
671400,WEST ENGLEWOOD,39%,"$102,000",1%,340,244.6,"1,390",-42%,"$24,306",40%,6%
671200,WEST ENGLEWOOD,55%,"$102,600",-12%,312,315.8,988,-39%,"$20,909",47%,2%
671100,WEST ENGLEWOOD,59%,"$108,800",5%,327,300.6,"1,088",-24%,"$30,577",23%,14%
670800,WEST ENGLEWOOD,53%,"$70,700",-25%,438,328.6,"1,333",-35%,"$22,083",24%,12%
670700,WEST ENGLEWOOD,31%,"�$62,900",-26%,400,350.9,"1,140",-41%,"$36,058",28%,5%
670600,WEST ENGLEWOOD,40%,"$64,800",-33%,209,195.7,"1,068",-53%,"$14,848",49%,10%
670500,WEST ENGLEWOOD,40%,"$114,800",3%,268,234.5,"1,143",-30%,"$26,087",31%,9%
670400,WEST ENGLEWOOD,48%,"$124,500",18%,276,164.3,"1,680",-26%,"$26,289",29%,10%
670200,WEST ENGLEWOOD,49%,"$117,400",37%,305,320,953,-53%,"$22,625",23%,8%
670100,WEST ENGLEWOOD,41%,"$144,700",40%,301,281.6,"1,069",-47%,"$35,000",28%,14%
660900,CHICAGO LAWN,43%,"$116,200",-20%,814,175.2,"4,647",-15%,"$29,125",33%,13%
660800,CHICAGO LAWN,32%,"$133,200",-3%,594,116.3,"5,109",-23%,"$37,690",16%,10%
660700,CHICAGO LAWN,42%,"$88,900",-22%,376,184.2,"2,041",-23%,"$27,344",30%,9%
660600,CHICAGO LAWN,36%,"$122,400",1%,908,154.3,"5,883",-22%,"$27,426",27%,8%
660301,CHICAGO LAWN,48%,"$130,000",-12%,218,141.8,"1,537",-32%,"$22,057",32%,6%
611900,NEW CITY,42%,"$151,100",66%,337,187.4,"1,798",-31%,"$25,231",18%,5%
611800,NEW CITY,52%,"$115,200",7%,261,112.7,"2,316",-10%,"$31,138",27%,8%
611700,NEW CITY,34%,"$164,300",63%,267,179.2,"1,490",-47%,"$25,074",23%,6%
611600,NEW CITY,37%,"$116,400",11%,155,102.7,"1,509",-29%,"$36,014",22%,4%
