census_tract,assoc_degree,bach_degree,grad_or_pro_degree,hs_diploma_or_ged,less_than_9th,some_college,some_hs
10100,2.12%,17.40%,13.50%,16.40%,0.0065,25.90%,6.11%
10201,4.45%,18.90%,7.45%,17.30%,0.0958,17.80%,8.44%
10202,4.47%,15.70%,8.74%,12.40%,0.0758,14.50%,6.60%
10300,3.60%,13.40%,13.50%,17.00%,0.0352,13.20%,7.45%
10400,3.04%,15.70%,14.90%,6.92%,0.0079,6.62%,0.00%
10501,1.14%,23.20%,18.90%,11.70%,0.0009,16.40%,3.65%
10502,4.15%,21.70%,14.40%,6.42%,0.0033,19.30%,3.65%
10503,0.89%,10.80%,11.20%,7.50%,0.0052,6.51%,3.25%
10600,6.92%,19.10%,16.10%,13.70%,0.0396,15.00%,2.12%
10701,2.34%,19.00%,16.20%,18.40%,0.1105,10.30%,2.62%
10702,3.75%,22.10%,13.60%,14.60%,0.122,11.60%,5.16%
20100,4.60%,16.70%,6.72%,14.70%,0.0556,16.80%,9.56%
20200,3.07%,18.90%,15.70%,11.80%,0.008,16.50%,7.58%
20301,3.30%,21.10%,13.10%,9.78%,0.0084,7.33%,3.12%
20302,4.61%,24.50%,15.40%,12.20%,0.013,8.48%,2.95%
20400,3.08%,19.40%,15.20%,18.10%,0.0442,8.64%,3.21%
20500,2.56%,17.80%,7.91%,18.30%,0.1207,6.88%,7.37%
20601,2.89%,17.60%,8.49%,18.50%,0.054,10.60%,3.99%
20602,3.47%,20.20%,11.60%,14.10%,0.0441,14.00%,5.68%
20701,6.61%,19.80%,16.80%,16.80%,0.0198,9.50%,1.59%
20702,5.86%,16.00%,4.87%,15.50%,0.0669,14.40%,7.70%
20801,8.12%,14.10%,11.60%,10.10%,0.0897,12.80%,5.48%
20802,4.31%,16.50%,9.68%,17.90%,0.1223,12.60%,4.58%
20901,4.39%,20.00%,10.80%,19.00%,0.0541,14.40%,7.02%
20902,6.77%,17.20%,6.09%,20.60%,0.1108,6.39%,3.99%
30101,4.51%,29.70%,12.80%,15.70%,0.0295,11.80%,2.64%
30102,7.67%,25.40%,12.90%,11.10%,0.0075,17.40%,2.33%
30103,3.73%,21.10%,17.30%,2.98%,0.0042,8.87%,0.00%
30104,1.78%,10.50%,6.09%,6.43%,0.0132,5.65%,0.76%
30200,3.36%,25.30%,25.20%,7.26%,0.009,12.10%,3.53%
30300,4.86%,18.80%,9.88%,19.90%,0.09,14.80%,2.67%
30400,2.21%,29.10%,18.50%,11.30%,0,10.20%,3.94%
30500,4.75%,27.40%,23.10%,12.30%,0.0271,10.10%,2.54%
30601,2.47%,21.30%,15.30%,17.50%,0.0535,6.44%,2.44%
30603,3.55%,24.20%,20.80%,22.80%,0.0219,13.60%,2.98%
30604,1.95%,25.90%,16.00%,9.81%,0.0038,19.50%,0.72%
30701,7.38%,25.00%,12.10%,9.42%,0.0406,16.80%,4.06%
30702,6.77%,29.50%,26.90%,4.34%,0,5.28%,2.65%
30703,5.17%,25.40%,18.90%,3.97%,0.0291,10.10%,5.27%
30706,0.60%,26.00%,13.40%,13.40%,0.0287,10.60%,1.65%
30800,2.75%,28.80%,23.70%,9.14%,0.0146,1.66%,3.69%
30900,4.99%,30.00%,19.00%,6.00%,0.0085,13.00%,5.23%
31000,2.65%,30.80%,24.70%,8.50%,0.0062,8.79%,2.15%
31100,4.60%,35.20%,13.90%,7.03%,0.0529,9.68%,2.35%
31200,1.38%,26.50%,10.90%,19.30%,0.0432,7.93%,9.82%
31300,3.62%,24.30%,12.70%,12.20%,0.0086,10.70%,2.16%
31400,3.81%,35.90%,25.00%,3.19%,0.004,5.26%,0.38%
31501,2.01%,20.20%,10.10%,12.90%,0.0662,13.20%,6.36%
31502,5.60%,21.30%,7.89%,16.40%,0.0322,14.80%,7.15%
31700,4.14%,29.50%,16.70%,13.50%,0.0104,11.40%,4.20%
