geoid,name,,,In Labor Force,,Civilian Labor Force,,Employed,,unemployed,,Armed Forces,,Not in Labor Force
14000US39001770100,"Census Tract 7701, Adams, OH",,,1747,,1747,,1602,,145,,0,,1790
14000US39001770200,"Census Tract 7702, Adams, OH",,,1992,,1992,,1822,,170,,0,,1793
14000US39001770300,"Census Tract 7703, Adams, OH",,,3031,,3031,,2899,,132,,0,,2483
14000US39001770400,"Census Tract 7704, Adams, OH",,,1541,,1541,,1370,,171,,0,,1866
14000US39001770500,"Census Tract 7705, Adams, OH",,,1388,,1388,,1255,,133,,0,,1391
14000US39001770600,"Census Tract 7706, Adams, OH",,,1240,,1240,,1176,,64,,0,,1601
14000US39003010100,"Census Tract 101, Allen, OH",,,2393,,2393,,2338,,55,,0,,1330
14000US39003010200,"Census Tract 102, Allen, OH",,,2153,,2153,,2064,,89,,0,,878
14000US39003010300,"Census Tract 103, Allen, OH",,,792,,792,,763,,29,,0,,425
14000US39003010600,"Census Tract 106, Allen, OH",,,2314,,2314,,2194,,120,,0,,1409
14000US39003010800,"Census Tract 108, Allen, OH",,,3778,,3776,,3658,,118,,2,,2215
14000US39003010900,"Census Tract 109, Allen, OH",,,2602,,2602,,2313,,289,,0,,1442
14000US39003011000,"Census Tract 110, Allen, OH",,,2739,,2739,,2535,,204,,0,,1746
14000US39003011200,"Census Tract 112, Allen, OH",,,693,,693,,657,,36,,0,,1834
14000US39003011300,"Census Tract 113, Allen, OH",,,3984,,3984,,3853,,131,,0,,2272
14000US39003011400,"Census Tract 114, Allen, OH",,,1569,,1569,,1518,,51,,0,,858
14000US39003011500,"Census Tract 115, Allen, OH",,,1372,,1372,,1341,,31,,0,,680
14000US39003011600,"Census Tract 116, Allen, OH",,,1215,,1215,,1105,,110,,0,,1042
14000US39003011800,"Census Tract 118, Allen, OH",,,1267,,1267,,1222,,45,,0,,753
14000US39003011900,"Census Tract 119, Allen, OH",,,1378,,1366,,1238,,128,,12,,1089
14000US39003012000,"Census Tract 120, Allen, OH",,,1229,,1229,,1217,,12,,0,,724
14000US39003012100,"Census Tract 121, Allen, OH",,,1732,,1732,,1646,,86,,0,,1120
14000US39003012200,"Census Tract 122, Allen, OH",,,1618,,1618,,1511,,107,,0,,984
14000US39003012300,"Census Tract 123, Allen, OH",,,2076,,2076,,1947,,129,,0,,825
14000US39003012400,"Census Tract 124, Allen, OH",,,1143,,1143,,1033,,110,,0,,471
14000US39003012600,"Census Tract 126, Allen, OH",,,1122,,1122,,963,,159,,0,,486
14000US39003012700,"Census Tract 127, Allen, OH",,,743,,743,,636,,107,,0,,388
14000US39003012900,"Census Tract 129, Allen, OH",,,838,,838,,764,,74,,0,,366
14000US39003013000,"Census Tract 130, Allen, OH",,,2117,,2117,,1861,,256,,0,,1255
14000US39003013100,"Census Tract 131, Allen, OH",,,1534,,1534,,1432,,102,,0,,465
14000US39003013200,"Census Tract 132, Allen, OH",,,1276,,1276,,1120,,156,,0,,479
14000US39003013300,"Census Tract 133, Allen, OH",,,543,,543,,483,,60,,0,,367
14000US39003013400,"Census Tract 134, Allen, OH",,,1002,,1002,,849,,153,,0,,797
14000US39003013600,"Census Tract 136, Allen, OH",,,515,,515,,439,,76,,0,,377
14000US39003013700,"Census Tract 137, Allen, OH",,,413,,413,,345,,68,,0,,403
14000US39003013800,"Census Tract 138, Allen, OH",,,1415,,1415,,1096,,319,,0,,749
14000US39003013900,"Census Tract 139, Allen, OH",,,1909,,1909,,1806,,103,,0,,837
14000US39003014000,"Census Tract 140, Allen, OH",,,1835,,1835,,1756,,79,,0,,951
14000US39003014100,"Census Tract 141, Allen, OH",,,813,,813,,648,,165,,0,,567
14000US39005970100,"Census Tract 9701, Ashland, OH",,,3762,,3752,,3589,,163,,10,,2409
14000US39005970200,"Census Tract 9702, Ashland, OH",,,2963,,2963,,2821,,142,,0,,1669
14000US39005970300,"Census Tract 9703, Ashland, OH",,,1967,,1967,,1880,,87,,0,,842
14000US39005970400,"Census Tract 9704, Ashland, OH",,,1690,,1690,,1632,,58,,0,,1001
14000US39005970500,"Census Tract 9705, Ashland, OH",,,1364,,1364,,1277,,87,,0,,1070
14000US39005970600,"Census Tract 9706, Ashland, OH",,,2540,,2540,,2447,,93,,0,,1974
14000US39005970700,"Census Tract 9707, Ashland, OH",,,2485,,2485,,2458,,27,,0,,1956
14000US39005970800,"Census Tract 9708, Ashland, OH",,,2161,,2131,,2089,,42,,30,,1370
14000US39005970900,"Census Tract 9709, Ashland, OH",,,2771,,2771,,2656,,115,,0,,1277
14000US39005971000,"Census Tract 9710, Ashland, OH",,,2597,,2597,,2459,,138,,0,,1555
14000US39005971100,"Census Tract 9711, Ashland, OH",,,1906,,1906,,1762,,144,,0,,1236
14000US39007000101,"Census Tract 1.01, Ashtabula, OH",,,1410,,1410,,1355,,55,,0,,2918
14000US39007000102,"Census Tract 1.02, Ashtabula, OH",,,1525,,1525,,1375,,150,,0,,1108
14000US39007000103,"Census Tract 1.03, Ashtabula, OH",,,1637,,1637,,1315,,322,,0,,1167
14000US39007000200,"Census Tract 2, Ashtabula, OH",,,1985,,1985,,1914,,71,,0,,1586
14000US39007000300,"Census Tract 3, Ashtabula, OH",,,1015,,1015,,947,,68,,0,,738
14000US39007000400,"Census Tract 4, Ashtabula, OH",,,746,,746,,654,,92,,0,,682
14000US39007000500,"Census Tract 5, Ashtabula, OH",,,2227,,2197,,1972,,225,,30,,1321
