geoid,name,B23025001,"B23025001, Error",,"B23025002, Error",Civilian Labor Force,"B23025003, Error",Employed,"B23025004, Error",Unemployed,"B23025005, Error",B23025006,"B23025006, Error",B23025007,"B23025007, Error"
14000US17031010100,"Census Tract 101, Cook, IL",3547,345,2616,308,2616,308,2405,283,211,122,0,11,931,282
14000US17031010201,"Census Tract 102.01, Cook, IL",5617,637,3404,405,3404,405,3129,400,275,129,0,15,2213,437
14000US17031010202,"Census Tract 102.02, Cook, IL",2095,233,1318,189,1318,189,1224,185,94,53,0,11,777,149
14000US17031010300,"Census Tract 103, Cook, IL",5655,434,3384,335,3384,335,3149,301,235,156,0,15,2271,376
14000US17031010400,"Census Tract 104, Cook, IL",4783,423,2916,380,2916,380,2663,376,253,121,0,15,1867,301
14000US17031010501,"Census Tract 105.01, Cook, IL",3643,353,2749,351,2749,351,2464,355,285,168,0,11,894,172
14000US17031010502,"Census Tract 105.02, Cook, IL",2426,230,1878,189,1878,189,1798,177,80,45,0,11,548,151
14000US17031010503,"Census Tract 105.03, Cook, IL",1905,303,1059,233,1038,226,976,209,62,52,21,34,846,174
14000US17031010600,"Census Tract 106, Cook, IL",5607,624,4534,561,4524,560,4019,474,505,253,10,16,1073,254
14000US17031010701,"Census Tract 107.01, Cook, IL",2986,271,2221,233,2221,233,2115,220,106,64,0,11,765,147
14000US17031010702,"Census Tract 107.02, Cook, IL",4027,390,3111,354,3111,354,2939,330,172,81,0,15,916,210
14000US17031020100,"Census Tract 201, Cook, IL",3354,396,1971,293,1971,293,1718,275,253,140,0,11,1383,416
14000US17031020200,"Census Tract 202, Cook, IL",4997,420,3225,354,3225,354,2979,383,246,147,0,15,1772,436
14000US17031020301,"Census Tract 203.01, Cook, IL",3861,290,2142,212,2142,212,1985,201,157,88,0,15,1719,205
14000US17031020302,"Census Tract 203.02, Cook, IL",3865,326,2612,273,2612,273,2284,260,328,141,0,15,1253,215
14000US17031020400,"Census Tract 204, Cook, IL",3553,286,2430,234,2430,234,2262,229,168,74,0,11,1123,198
14000US17031020500,"Census Tract 205, Cook, IL",5169,663,3204,489,3204,489,2790,471,414,234,0,15,1965,340
14000US17031020601,"Census Tract 206.01, Cook, IL",4654,385,2794,414,2794,414,2517,408,277,164,0,15,1860,449
14000US17031020602,"Census Tract 206.02, Cook, IL",3422,388,2203,298,2203,298,1989,280,214,90,0,11,1219,208
14000US17031020701,"Census Tract 207.01, Cook, IL",1341,160,892,148,892,148,834,141,58,29,0,11,449,101
14000US17031020702,"Census Tract 207.02, Cook, IL",5961,483,4140,525,4140,525,3803,536,337,170,0,15,1821,371
14000US17031020801,"Census Tract 208.01, Cook, IL",4309,406,3111,384,3111,384,2887,377,224,115,0,15,1198,254
14000US17031020802,"Census Tract 208.02, Cook, IL",6376,674,4222,557,4222,557,3939,505,283,174,0,15,2154,418
14000US17031020901,"Census Tract 209.01, Cook, IL",4399,433,3082,345,3082,345,2897,348,185,109,0,15,1317,233
14000US17031020902,"Census Tract 209.02, Cook, IL",3678,388,2093,353,2093,353,1974,354,119,67,0,11,1585,253
14000US17031030101,"Census Tract 301.01, Cook, IL",3252,319,2263,291,2263,291,2085,285,178,93,0,11,989,203
14000US17031030102,"Census Tract 301.02, Cook, IL",2676,238,1901,225,1901,225,1780,208,121,58,0,11,775,153
14000US17031030103,"Census Tract 301.03, Cook, IL",2136,290,1373,241,1373,241,1249,209,124,72,0,11,763,183
14000US17031030104,"Census Tract 301.04, Cook, IL",3306,417,1781,283,1781,283,1540,252,241,113,0,11,1525,287
14000US17031030200,"Census Tract 302, Cook, IL",4595,513,3379,457,3379,457,3165,437,214,137,0,15,1216,306
14000US17031030300,"Census Tract 303, Cook, IL",2768,264,1917,234,1917,234,1771,225,146,64,0,11,851,184
14000US17031030400,"Census Tract 304, Cook, IL",2351,180,1826,194,1826,194,1572,175,254,104,0,11,525,115
14000US17031030500,"Census Tract 305, Cook, IL",5757,471,4624,389,4624,389,4528,402,96,76,0,15,1133,251
14000US17031030601,"Census Tract 306.01, Cook, IL",3478,371,2217,306,2217,306,2164,309,53,71,0,11,1261,248
14000US17031030603,"Census Tract 306.03, Cook, IL",1787,175,1319,149,1319,149,1277,153,42,26,0,11,468,143
14000US17031030604,"Census Tract 306.04, Cook, IL",2908,261,1832,201,1832,201,1739,191,93,74,0,11,1076,164
14000US17031030701,"Census Tract 307.01, Cook, IL",1459,139,1015,99,1015,99,935,107,80,36,0,11,444,122
14000US17031030702,"Census Tract 307.02, Cook, IL",945,102,640,97,640,97,567,78,73,42,0,11,305,110
14000US17031030703,"Census Tract 307.03, Cook, IL",2538,250,1653,239,1653,239,1564,222,89,73,0,11,885,220
14000US17031030706,"Census Tract 307.06, Cook, IL",3836,325,2303,301,2303,301,2110,269,193,116,0,11,1533,245
14000US17031030800,"Census Tract 308, Cook, IL",3846,388,2452,327,2452,327,2388,322,64,54,0,11,1394,266
14000US17031030900,"Census Tract 309, Cook, IL",2839,368,2120,393,2120,393,2040,392,80,62,0,11,719,141
14000US17031031000,"Census Tract 310, Cook, IL",3573,310,2950,288,2943,292,2798,270,145,74,7,12,623,143
14000US17031031100,"Census Tract 311, Cook, IL",4341,386,3518,357,3518,357,3333,334,185,126,0,11,823,212
