tract,community_name,poverty_rate,home_value,home_change,total_crimes,crimes_per_1000,pop_12_17,pop_change,median_income,unemployment,assoc_degree_or_higher
843600,GRAND BOULEVARD,30.40%,"$250,500 ",20%,502,177.9,2822,-9%,35714,25%,33.84%
843300,NORTH LAWNDALE,46.00%,"$117,100 ",-35%,342,159.5,2144,13%,47829,15%,12.78%
843000,NORTH LAWNDALE,51.40%,"$138,100 ",-1%,1363,506.9,2689,-3%,18036,16%,12.09%
842900,NEAR WEST SIDE,42.20%,"$191,200 ",27%,853,416.1,2050,-51%,21325,8%,17.91%
842100,HUMBOLDT PARK,31.20%,"$187,200 ",28%,730,95.3,7664,0%,33945,14%,13.18%
841800,GREATER GRAND CROSSING,31.40%,"$118,800 ",8%,363,131.7,2756,-14%,36250,26%,19.84%
841500,NORTH LAWNDALE,57.60%,"$185,000 ",39%,953,325,2932,-19%,24858,20%,14.22%
841400,NORTH LAWNDALE,46.90%,"$114,600 ",-15%,388,326.3,1189,-31%,29338,14%,16.57%
841000,NEAR SOUTH SIDE,16.20%,"$264,000 ",481%,527,600.2,878,-57%,63125,5%,61.12%
838800,SOUTH DEERING,48.50%,"$126,400 ",24%,633,179.5,3526,-5%,19155,24%,7.87%
838700,NORTH LAWNDALE,54.50%,"$175,300 ",33%,1521,328.4,4631,-6%,22742,26%,10.71%
838600,NORTH LAWNDALE,62.20%,"$228,000 ",-50%,493,336.1,1467,13%,14850,19%,8.42%
837000,EAST GARFIELD PARK,49.20%,"$204,300 ",69%,439,216.5,2028,-11%,29911,17%,25.64%
836900,EAST GARFIELD PARK,41.00%,"$111,200 ",-47%,303,213.1,1422,3%,26458,23%,14.51%
836100,WASHINGTON PARK,43.90%,"$151,300 ",17%,520,240.4,2163,-24%,25462,22%,15.89%
836000,GRAND BOULEVARD,33.70%,"$280,300 ",18%,250,93.1,2685,-2%,60368,20%,35.45%
835900,GRAND BOULEVARD,46.80%,"$197,400 ",-25%,541,170.7,3170,5%,18856,28%,15.08%
835500,FULLER PARK,35.60%,"$115,400 ",14%,368,254.8,1444,-28%,20517,26%,17.20%
835000,CHICAGO LAWN,39.60%,"$114,500 ",-17%,825,147.9,5579,-18%,26926,24%,8.29%
834900,WEST ENGLEWOOD,47.40%,"$97,100 ",-13%,515,277,1859,-36%,18401,29%,7.38%
834800,ENGLEWOOD,45.70%,"$120,200 ",24%,506,323.1,1566,-46%,20559,37%,10.46%
834700,ENGLEWOOD,56.50%,"$88,400 ",1%,476,272.3,1748,-40%,21802,29%,9.34%
834600,ENGLEWOOD,41.80%,"$121,700 ",26%,628,247.7,2535,-51%,21196,37%,6.43%
834500,WASHINGTON PARK,47.80%,"$156,600 ",55%,312,245.1,1273,-26%,31483,28%,23.21%
834400,WOODLAWN,29.20%,"$204,300 ",63%,387,86.2,4487,30%,38233,13%,32.60%
834300,AVALON PARK,22.30%,"$169,100 ",24%,805,126.1,6384,-10%,34140,18%,23.26%
834200,SOUTH SHORE,36.70%,"$168,800 ",11%,1111,257.8,4310,-28%,33835,15%,26.89%
834000,ROSELAND,25.40%,"$144,900 ",19%,633,214.1,2956,-26%,34864,19%,21.16%
750600,MORGAN PARK,36.30%,"$146,700 ",16%,473,138.1,3426,-24%,34470,18%,20.64%
711400,AUBURN GRESHAM,36.80%,"$130,500 ",4%,495,204.2,2424,-18%,37434,18%,16.51%
711000,AUBURN GRESHAM,28.40%,"$109,600 ",-11%,544,175.6,3098,-23%,33664,19%,14.64%
710500,AUBURN GRESHAM,34.10%,"$162,200 ",6%,788,184.6,4268,-14%,30793,20%,17.29%
710300,AUBURN GRESHAM,30.30%,"$117,200 ",-3%,295,204.3,1444,-11%,33281,36%,15.19%
710200,AUBURN GRESHAM,41.20%,"$133,100 ",6%,1007,204.5,4925,-15%,26934,26%,15.09%
710100,AUBURN GRESHAM,59.00%,"$118,800 ",-30%,264,222.2,1188,-19%,15524,41%,14.20%
691500,GREATER GRAND CROSSING,38.90%,"$120,100 ",2%,532,264.3,2013,-15%,20027,34%,12.82%
691400,GREATER GRAND CROSSING,23.40%,"$140,500 ",7%,676,240.8,2807,-33%,28813,12%,18.31%
691300,GREATER GRAND CROSSING,22.50%,"$155,500 ",16%,562,206.5,2721,4%,40658,34%,20.43%
691100,GREATER GRAND CROSSING,45.00%,"$157,300 ",34%,674,204,3304,-16%,19125,29%,14.48%
691000,GREATER GRAND CROSSING,22.20%,"$141,300 ",-12%,469,191.9,2444,-18%,49297,17%,29.78%
690300,GREATER GRAND CROSSING,54.10%,"$119,000 ",14%,560,234,2393,-13%,19904,19%,9.78%
681300,ENGLEWOOD,35.30%,"$150,900 ",35%,575,247.3,2325,-35%,25735,38%,13.07%
681200,ENGLEWOOD,43.00%,"$105,100 ",18%,564,211.7,2664,-30%,23302,36%,11.58%
681000,ENGLEWOOD,51.20%,"$136,400 ",41%,686,279.1,2458,-43%,15201,24%,10.05%
680900,ENGLEWOOD,50.10%,"$172,500 ",158%,936,297.8,3143,-32%,15612,27%,10.81%
680600,ENGLEWOOD,55.90%,"$108,800 ",16%,347,217.7,1594,-17%,24464,36%,8.95%
680500,ENGLEWOOD,65.80%,"$108,300 ",6%,328,238.5,1375,-38%,23354,41%,10.28%
671800,WEST ENGLEWOOD,37.40%,"$90,300 ",-10%,241,186.5,1292,-32%,35962,24%,11.98%
671600,WEST ENGLEWOOD,32.30%,"$85,000 ",-22%,487,254,1917,-37%,23203,36%,4.12%
671500,WEST ENGLEWOOD,44.40%,"$88,100 ",-15%,805,298.1,2700,-38%,28403,30%,7.66%
671400,WEST ENGLEWOOD,38.70%,"$102,000 ",1%,340,244.6,1390,-42%,24306,40%,5.50%
671200,WEST ENGLEWOOD,54.60%,"$102,600 ",-12%,312,315.8,988,-39%,20909,47%,1.89%
671100,WEST ENGLEWOOD,59.20%,"$108,800 ",5%,327,300.6,1088,-24%,30577,23%,13.55%
670800,WEST ENGLEWOOD,52.80%,"$70,700 ",-25%,438,328.6,1333,-35%,22083,24%,11.73%
670700,WEST ENGLEWOOD,30.60%,"�$62,900",-26%,400,350.9,1140,-41%,36058,28%,5.33%
670600,WEST ENGLEWOOD,40.10%,"$64,800 ",-33%,209,195.7,1068,-53%,14848,49%,10.45%
670500,WEST ENGLEWOOD,40.30%,"$114,800 ",3%,268,234.5,1143,-30%,26087,31%,9.02%
670400,WEST ENGLEWOOD,48.10%,"$124,500 ",18%,276,164.3,1680,-26%,26289,29%,9.58%
670200,WEST ENGLEWOOD,49.20%,"$117,400 ",37%,305,320,953,-53%,22625,23%,7.58%
670100,WEST ENGLEWOOD,40.60%,"$144,700 ",40%,301,281.6,1069,-47%,35000,28%,13.94%
660900,CHICAGO LAWN,43.00%,"$116,200 ",-20%,814,175.2,4647,-15%,29125,33%,12.76%
660800,CHICAGO LAWN,31.90%,"$133,200 ",-3%,594,116.3,5109,-23%,37690,16%,9.53%
660700,CHICAGO LAWN,42.10%,"$88,900 ",-22%,376,184.2,2041,-23%,27344,30%,8.89%
660600,CHICAGO LAWN,35.50%,"$122,400 ",1%,908,154.3,5883,-22%,27426,27%,8.44%
660301,CHICAGO LAWN,48.00%,"$130,000 ",-12%,218,141.8,1537,-32%,22057,32%,5.92%
611900,NEW CITY,41.70%,"$151,100 ",66%,337,187.4,1798,-31%,25231,18%,5.01%
611800,NEW CITY,52.00%,"$115,200 ",7%,261,112.7,2316,-10%,31138,27%,7.91%
611700,NEW CITY,33.90%,"$164,300 ",63%,267,179.2,1490,-47%,25074,23%,6.43%
611600,NEW CITY,37.00%,"$116,400 ",11%,155,102.7,1509,-29%,36014,22%,4.32%
611200,NEW CITY,35.30%,"$120,800 ",16%,269,105.7,2545,-25%,27697,15%,3.08%
611100,NEW CITY,45.60%,"$109,000 ",8%,219,94.9,2307,-34%,24972,22%,4.52%
611000,NEW CITY,45.90%,"$107,800 ",15%,165,179.7,918,-32%,20813,19%,8.02%
540101,RIVERDALE,69.20%,"$84,200 ",9%,827,213.1,3881,-33%,12660,38%,8.04%
530502,WEST PULLMAN,31.40%,"$141,800 ",21%,187,131.8,1419,-29%,41696,24%,18.58%
530200,WEST PULLMAN,45.90%,"$116,100 ",14%,784,182.5,4296,-39%,29539,30%,12.57%
520200,EAST SIDE,39.20%,"$104,500 ",-12%,251,70.3,3572,-17%,36228,23%,8.03%
500300,PULLMAN,16.50%,"$141,100 ",15%,291,205.4,1417,-28%,41587,16%,34.94%
500200,PULLMAN,30.90%,"$98,800 ",-16%,504,238.5,2113,-10%,34038,29%,22.04%
500100,PULLMAN,23.00%,"$136,200 ",18%,418,135.6,3083,-33%,41570,10%,23.40%
491400,ROSELAND,41.50%,"$96,800 ",-27%,711,220.7,3221,-15%,28774,30%,13.62%
491300,ROSELAND,55.70%,"$85,300 ",-19%,551,223.5,2465,-36%,25912,34%,13.01%
490901,ROSELAND,25.80%,"$147,500 ",14%,533,141.5,3768,-22%,39750,26%,15.68%
470100,BURNSIDE,35.70%,"$122,100 ",12%,401,177.9,2254,-31%,24821,22%,11.74%
