geoid,name,B19013001,"B19013001, Error"
14000US17031010100,"Census Tract 101, Cook, IL",33750,10701
14000US17031010201,"Census Tract 102.01, Cook, IL",40841,7069
14000US17031010202,"Census Tract 102.02, Cook, IL",36563,8731
14000US17031010300,"Census Tract 103, Cook, IL",36870,3386
14000US17031010400,"Census Tract 104, Cook, IL",39634,8452
14000US17031010501,"Census Tract 105.01, Cook, IL",31985,10336
14000US17031010502,"Census Tract 105.02, Cook, IL",33721,2977
14000US17031010503,"Census Tract 105.03, Cook, IL",19671,7134
14000US17031010600,"Census Tract 106, Cook, IL",40576,8381
14000US17031010701,"Census Tract 107.01, Cook, IL",60798,12257
14000US17031010702,"Census Tract 107.02, Cook, IL",39604,3652
14000US17031020100,"Census Tract 201, Cook, IL",49318,5281
14000US17031020200,"Census Tract 202, Cook, IL",87835,24458
14000US17031020301,"Census Tract 203.01, Cook, IL",53254,9927
14000US17031020302,"Census Tract 203.02, Cook, IL",69861,5601
14000US17031020400,"Census Tract 204, Cook, IL",59705,9082
14000US17031020500,"Census Tract 205, Cook, IL",40090,3769
14000US17031020601,"Census Tract 206.01, Cook, IL",39282,7423
14000US17031020602,"Census Tract 206.02, Cook, IL",50048,5194
14000US17031020701,"Census Tract 207.01, Cook, IL",76635,35407
14000US17031020702,"Census Tract 207.02, Cook, IL",44990,14526
14000US17031020801,"Census Tract 208.01, Cook, IL",50230,9073
14000US17031020802,"Census Tract 208.02, Cook, IL",47207,7266
14000US17031020901,"Census Tract 209.01, Cook, IL",42942,4108
14000US17031020902,"Census Tract 209.02, Cook, IL",36660,4324
14000US17031030101,"Census Tract 301.01, Cook, IL",43167,12614
14000US17031030102,"Census Tract 301.02, Cook, IL",43750,3982
14000US17031030103,"Census Tract 301.03, Cook, IL",49233,9637
14000US17031030104,"Census Tract 301.04, Cook, IL",38871,4682
14000US17031030200,"Census Tract 302, Cook, IL",64089,12931
14000US17031030300,"Census Tract 303, Cook, IL",37868,4931
14000US17031030400,"Census Tract 304, Cook, IL",45850,8259
14000US17031030500,"Census Tract 305, Cook, IL",79587,10178
14000US17031030601,"Census Tract 306.01, Cook, IL",39015,4059
14000US17031030603,"Census Tract 306.03, Cook, IL",29088,5437
14000US17031030604,"Census Tract 306.04, Cook, IL",30486,8314
14000US17031030701,"Census Tract 307.01, Cook, IL",36467,6437
14000US17031030702,"Census Tract 307.02, Cook, IL",73967,16855
14000US17031030703,"Census Tract 307.03, Cook, IL",40670,8898
14000US17031030706,"Census Tract 307.06, Cook, IL",41331,9425
14000US17031030800,"Census Tract 308, Cook, IL",72296,15744
14000US17031030900,"Census Tract 309, Cook, IL",88000,17550
14000US17031031000,"Census Tract 310, Cook, IL",72964,12648
14000US17031031100,"Census Tract 311, Cook, IL",65462,16675
14000US17031031200,"Census Tract 312, Cook, IL",35295,10711
14000US17031031300,"Census Tract 313, Cook, IL",42690,7131
14000US17031031400,"Census Tract 314, Cook, IL",68899,12860
14000US17031031501,"Census Tract 315.01, Cook, IL",26915,4286
14000US17031031502,"Census Tract 315.02, Cook, IL",24304,4796
14000US17031031700,"Census Tract 317, Cook, IL",44555,12220
14000US17031031800,"Census Tract 318, Cook, IL",69167,10089
14000US17031031900,"Census Tract 319, Cook, IL",61211,6343
14000US17031032100,"Census Tract 321, Cook, IL",52335,7407
14000US17031040100,"Census Tract 401, Cook, IL",79688,9701
14000US17031040201,"Census Tract 402.01, Cook, IL",68082,6749
14000US17031040202,"Census Tract 402.02, Cook, IL",39601,8044
14000US17031040300,"Census Tract 403, Cook, IL",96369,16657
14000US17031040401,"Census Tract 404.01, Cook, IL",90243,12120
14000US17031040402,"Census Tract 404.02, Cook, IL",81496,23849
14000US17031040600,"Census Tract 406, Cook, IL",85745,5424
14000US17031040700,"Census Tract 407, Cook, IL",76750,13092
14000US17031040800,"Census Tract 408, Cook, IL",74688,9831
14000US17031040900,"Census Tract 409, Cook, IL",76607,17373
14000US17031050100,"Census Tract 501, Cook, IL",95750,15161
14000US17031050200,"Census Tract 502, Cook, IL",74375,18773
14000US17031050300,"Census Tract 503, Cook, IL",79183,9723
14000US17031050500,"Census Tract 505, Cook, IL",121591,31405
14000US17031050600,"Census Tract 506, Cook, IL",104955,23709
14000US17031050700,"Census Tract 507, Cook, IL",128676,17966
