geoid,name,B19013001,"B19013001, Error"
14000US39001770100,"Census Tract 7701, Adams, OH",32911,4439
14000US39001770200,"Census Tract 7702, Adams, OH",45590,5754
14000US39001770300,"Census Tract 7703, Adams, OH",49911,11732
14000US39001770400,"Census Tract 7704, Adams, OH",25051,8306
14000US39001770500,"Census Tract 7705, Adams, OH",34015,3751
14000US39001770600,"Census Tract 7706, Adams, OH",31952,4189
14000US39003010100,"Census Tract 101, Allen, OH",66545,6722
14000US39003010200,"Census Tract 102, Allen, OH",55846,3385
14000US39003010300,"Census Tract 103, Allen, OH",65658,11286
14000US39003010600,"Census Tract 106, Allen, OH",55604,5829
14000US39003010800,"Census Tract 108, Allen, OH",64978,5708
14000US39003010900,"Census Tract 109, Allen, OH",52303,9514
14000US39003011000,"Census Tract 110, Allen, OH",39902,12395
14000US39003011200,"Census Tract 112, Allen, OH",45114,15727
14000US39003011300,"Census Tract 113, Allen, OH",55685,6206
14000US39003011400,"Census Tract 114, Allen, OH",60489,8010
14000US39003011500,"Census Tract 115, Allen, OH",55250,14069
14000US39003011600,"Census Tract 116, Allen, OH",39545,13589
14000US39003011800,"Census Tract 118, Allen, OH",62358,11527
14000US39003011900,"Census Tract 119, Allen, OH",55923,9872
14000US39003012000,"Census Tract 120, Allen, OH",91875,17388
14000US39003012100,"Census Tract 121, Allen, OH",80625,11788
14000US39003012200,"Census Tract 122, Allen, OH",35637,4064
14000US39003012300,"Census Tract 123, Allen, OH",38214,6511
14000US39003012400,"Census Tract 124, Allen, OH",29863,5476
14000US39003012600,"Census Tract 126, Allen, OH",39132,5164
14000US39003012700,"Census Tract 127, Allen, OH",21722,3922
14000US39003012900,"Census Tract 129, Allen, OH",18529,6897
14000US39003013000,"Census Tract 130, Allen, OH",35781,7604
14000US39003013100,"Census Tract 131, Allen, OH",51558,5301
14000US39003013200,"Census Tract 132, Allen, OH",54241,5849
14000US39003013300,"Census Tract 133, Allen, OH",33125,6620
14000US39003013400,"Census Tract 134, Allen, OH",20547,3926
14000US39003013600,"Census Tract 136, Allen, OH",24453,9465
14000US39003013700,"Census Tract 137, Allen, OH",29410,3161
14000US39003013800,"Census Tract 138, Allen, OH",32679,5366
14000US39003013900,"Census Tract 139, Allen, OH",52790,6787
14000US39003014000,"Census Tract 140, Allen, OH",59779,10038
14000US39003014100,"Census Tract 141, Allen, OH",21908,5731
14000US39005970100,"Census Tract 9701, Ashland, OH",54583,7838
14000US39005970200,"Census Tract 9702, Ashland, OH",59472,9223
14000US39005970300,"Census Tract 9703, Ashland, OH",49744,7454
14000US39005970400,"Census Tract 9704, Ashland, OH",31303,3121
14000US39005970500,"Census Tract 9705, Ashland, OH",29813,3383
14000US39005970600,"Census Tract 9706, Ashland, OH",45750,8561
14000US39005970700,"Census Tract 9707, Ashland, OH",66201,8013
14000US39005970800,"Census Tract 9708, Ashland, OH",51461,5637
14000US39005970900,"Census Tract 9709, Ashland, OH",59232,4275
14000US39005971000,"Census Tract 9710, Ashland, OH",55286,4044
14000US39005971100,"Census Tract 9711, Ashland, OH",43271,4971
14000US39007000101,"Census Tract 1.01, Ashtabula, OH",43150,8496
14000US39007000102,"Census Tract 1.02, Ashtabula, OH",37212,6134
14000US39007000103,"Census Tract 1.03, Ashtabula, OH",34242,6063
14000US39007000200,"Census Tract 2, Ashtabula, OH",56572,3984
14000US39007000300,"Census Tract 3, Ashtabula, OH",49688,12729
14000US39007000400,"Census Tract 4, Ashtabula, OH",26858,5349
14000US39007000500,"Census Tract 5, Ashtabula, OH",36205,5145
14000US39007000601,"Census Tract 6.01, Ashtabula, OH",32433,4976
14000US39007000602,"Census Tract 6.02, Ashtabula, OH",40767,3913
14000US39007000603,"Census Tract 6.03, Ashtabula, OH",56890,12068
14000US39007000701,"Census Tract 7.01, Ashtabula, OH",26206,2378
14000US39007000702,"Census Tract 7.02, Ashtabula, OH",51964,7624
14000US39007000703,"Census Tract 7.03, Ashtabula, OH",24776,6938
14000US39007000704,"Census Tract 7.04, Ashtabula, OH",28047,8556
14000US39007000801,"Census Tract 8.01, Ashtabula, OH",40188,6424
14000US39007000802,"Census Tract 8.02, Ashtabula, OH",36250,12727
14000US39007000900,"Census Tract 9, Ashtabula, OH",40368,6468
14000US39007001001,"Census Tract 10.01, Ashtabula, OH",60430,4841
14000US39007001002,"Census Tract 10.02, Ashtabula, OH",47928,13853
14000US39007001101,"Census Tract 11.01, Ashtabula, OH",52016,7525
14000US39007001102,"Census Tract 11.02, Ashtabula, OH",52531,4145
14000US39007001200,"Census Tract 12, Ashtabula, OH",51984,4071
14000US39007001301,"Census Tract 13.01, Ashtabula, OH",49792,6213
14000US39007001302,"Census Tract 13.02, Ashtabula, OH",33633,3444
14000US39007001400,"Census Tract 14, Ashtabula, OH",46235,2252
14000US39007990000,"Census Tract 9900, Ashtabula, OH",0,0
14000US39009972600,"Census Tract 9726, Athens, OH",34797,4369
14000US39009972700,"Census Tract 9727, Athens, OH",35350,10319
14000US39009972800,"Census Tract 9728, Athens, OH",27686,5150
14000US39009972900,"Census Tract 9729, Athens, OH",41973,8301
14000US39009973000,"Census Tract 9730, Athens, OH",57083,10458
14000US39009973101,"Census Tract 9731.01, Athens, OH",15720,3456
14000US39009973200,"Census Tract 9732, Athens, OH",39972,5831
14000US39009973300,"Census Tract 9733, Athens, OH",58860,13611
14000US39009973400,"Census Tract 9734, Athens, OH",31206,4169
14000US39009973500,"Census Tract 9735, Athens, OH",48224,5312
14000US39009973600,"Census Tract 9736, Athens, OH",48236,4253
14000US39009973700,"Census Tract 9737, Athens, OH",45795,9432
14000US39009973800,"Census Tract 9738, Athens, OH",46706,6569
14000US39009973901,"Census Tract 9739.01, Athens, OH",7857,4056
14000US39009973902,"Census Tract 9739.02, Athens, OH",15000,6534
14000US39011040100,"Census Tract 401, Auglaize, OH",59808,5133
14000US39011040200,"Census Tract 402, Auglaize, OH",50391,6256
14000US39011040300,"Census Tract 403, Auglaize, OH",44272,5976
14000US39011040400,"Census Tract 404, Auglaize, OH",56908,8001
14000US39011040500,"Census Tract 405, Auglaize, OH",74506,6004
14000US39011040600,"Census Tract 406, Auglaize, OH",49563,10691
14000US39011040900,"Census Tract 409, Auglaize, OH",69614,5744
14000US39011041000,"Census Tract 410, Auglaize, OH",80792,7213
14000US39011041100,"Census Tract 411, Auglaize, OH",69500,4629
14000US39011041201,"Census Tract 412.01, Auglaize, OH",56167,7954
14000US39011041202,"Census Tract 412.02, Auglaize, OH",51402,8396
14000US39013010100,"Census Tract 101, Belmont, OH",35278,3068
14000US39013010200,"Census Tract 102, Belmont, OH",37867,4545
14000US39013010300,"Census Tract 103, Belmont, OH",60370,11775
14000US39013010600,"Census Tract 106, Belmont, OH",53210,8950
14000US39013010700,"Census Tract 107, Belmont, OH",62361,13822
14000US39013010802,"Census Tract 108.02, Belmont, OH",43404,3558
14000US39013010900,"Census Tract 109, Belmont, OH",42694,10000
14000US39013011000,"Census Tract 110, Belmont, OH",41607,6930
14000US39013011200,"Census Tract 112, Belmont, OH",53882,11468
14000US39013011300,"Census Tract 113, Belmont, OH",52226,4231
14000US39013011400,"Census Tract 114, Belmont, OH",56162,7955
14000US39013011500,"Census Tract 115, Belmont, OH",30945,6727
14000US39013011600,"Census Tract 116, Belmont, OH",22104,5848
14000US39013011700,"Census Tract 117, Belmont, OH",26750,8693
14000US39013011900,"Census Tract 119, Belmont, OH",45644,6385
