,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
0,14000US39001770200,"Census Tract 7702, Adams, OH",4998,346,4626,4815,Adams County Economic and Community Development,Adams,39001770200,1,The Adams County Community Improvement Corporation has put in an offer to purchase 32 acres off of State Route 32 and Dorsey Road for the development of a new industrial site in order to make the county economically viable and competitive for business growth.,,45590,5754,1992,1992,1822,170,1793,8.041504539559014,8.53413654618474
1,14000US39001770200,"Census Tract 7702, Adams, OH",4998,346,4626,4815,APEG,Adams,39001770200,1,32 acres off SR 32 and Dorsey Road,Adams County CIC has tendered an offer to purchase 32 acres for the development of a new industrial site.County has no ready sites for industrial development along 32 corridor,45590,5754,1992,1992,1822,170,1793,8.041504539559014,8.53413654618474
2,14000US39001770200,"Census Tract 7702, Adams, OH",4998,346,4626,4815,Ohio Valley Regional Development Commission,Adams,39001770200,9,"Village of Seaman Wastewater Treatment Plant Screen Replacement Project, Ohio Valley Schools Technology Upgrade","Recent investment activity, LMI percentage.",45590,5754,1992,1992,1822,170,1793,8.041504539559014,8.53413654618474
3,14000US39003012600,"Census Tract 126, Allen, OH",1863,205,2043,1834,City of Lima,Allen,39003012600,3,"Census Tract 126 Median Family Income: $40,383 State Median Family Income: $64,433 Median Family Income = 63% of State Median Family Income 21% of the population is below the poverty level While Census Tract 126 does include residential areas with families in poverty, opportunity for future investment is strong in this area. A major transportation corridor in Lima which provides access to I-75 is located in Census Tract 126 along with a major corporate partner and investor, Lima Memorial Hospital. Projects recently completed or underway: - Lima Memorial Hospital is current planning a significant expansion of approximately 54,000 square feet of professional office buildings. The additional facility will provide walk-in care services, a full-service outpatient pharmacy, and a chronic disease management center. Completion of this project is expected in 2018, and the project is privately funded. - The City of Lima recently completed a $1.713 million renovation of Lima Stadium Park. The project was funded by a $1.485 million ODNR Community Recreation Grant, and approximately $228,000 in City of Lima utility and capital funds. Acquisition of land needed for the project was funded by private donors in the amount of $1.2 million, for a total project cost of $2.9 million. Future planned development: - A private property owner recently annexed 24.388 acres of land located adjacent to I-75 into the City of Lima. The property has excellent transportation access and visibility, and the owner has indicated that he is seeking development proposals for large-scale commercial development at this location. Census Tract 126 is adjacent to the downtown Census Tract 141. All Census Tracts being proposed by Lima as Opportunity Zones are adjacent to one another, creating a contiguous development zone. While this entire zone of contiguous Census Tracts unfortunately contains families in poverty, opportunity for future investment will hopefully lead to improved housing and quality of life for those and all families in Lima.",This tract is adjacent to the downtown tract and includes strong corporate partner Lima Memorial and I-75. Investment would support needed downtown development.,39132,5164,1122,1122,963,159,486,-8.81057268722467,14.171122994652407
4,14000US39003012900,"Census Tract 129, Allen, OH",1641,280,2021,1741,City of Lima,Allen,39003012900,2,"Census Tract 129 Median Family Income: $28,516 State Median Family Income: $64,433 Median Family Income = 44% of State Median Family Income 39.6% of the population is below the poverty level Census Tract 129 currently exhibits deteriorating housing stock and many families in poverty, but it is also home to one of Lima?s corporate engines, Mercy Health (St. Rita?s Medical Center.) Mercy Health has over 3,000 employees and volunteers in Lima on its approximately 40-acre campus. Future planned development: - Mercy Health is currently planning a $15 million residency education facility at Collett and Market Streets, across from the current hospital. The hospital will be bringing 80 new doctors to the area for its residency program, which will stimulate as much as $1 million in new housing development expected to occur largely in Census Tract 129 and/or in the adjacent Census Tract 141. Projects recently completed or underway: - Mercy Health completed a major $100 million expansion several years ago, adding a 10 floor tower. Several floors were left undeveloped. Those floors have been finished out in the last couple of years permitting the growth in specialty medicine practices. - The Allen County Museum recently completed a $227,000 renovation project funded with a $100,000 Ohio Facilities Construction Commission grant and Historical Society funds. The project included increasing exhibit space and removing asbestos. - The Huntington National Bank recently completed a major façade renovation at its Market Street location, representing an estimated $160,000 in private investment. - A new 9,100 square foot Dollar General opened in 2017 at Metcalf and Jameson. The project was completed through a $350,000 private investment. All Census Tracts being proposed by Lima as Opportunity Zones are adjacent to one another, creating a contiguous development zone. While this entire zone of contiguous Census Tracts unfortunately contains families in poverty, opportunity for future investment will hopefully lead to improved housing and quality of life for those and all families in Lima.","Mercy Health is a strong corporate partner in this tract who has strong vision and commitment for the future. However, there is significant poverty and need for investment here. It is adjacent to the downtown tract as well.",18529,6897,838,838,764,74,366,-18.80257298367145,8.83054892601432
5,14000US39003014100,"Census Tract 141, Allen, OH",1795,225,2656,2151,City of Lima,Allen,39003014100,1,"Census Tract 141 Median Family Income: $33,278 State Median Family Income: $64,433 Median Family Income = 51.65% of State Median Family Income 36.3% of the population is below the poverty level Census Tract 141 includes the heart of Lima, the downtown area. Significant investment has taken place in downtown Lima within the last two to five years. Projects that are recently completed or underway include: - 138 N Main St. is a historic building under renovation which includes the new Hollander restaurant, a private investment project, valued at $2 million. - The Met, a five-story mixed-use project at 306 N. Main St., including a $1.1 million renovation resulting in a new upscale restaurant and clothing boutique. 35% of the funding is from state and federal historic tax credits and 65% is private investment. This project has created 43 jobs. - 43 Town Square, a $15 million mixed-use renovation project by the Woda Group which will offer 47 market-rate and affordable apartments along with commercial space. $500,000 in federal HOME funds provided by the City of Lima, almost $1 million in state historic tax credits, $2.9 million in federal historic tax credits, $8.8 million in LIHTC, and over $1.5 million in private funding is supporting the project. - Dominion Energy is building a new corporate campus in downtown Lima with the new construction of office and warehouse space. The project will be funded with an estimated $17 million in private dollars. The City of Lima contributed $56,000 toward the $356,000 roadway realignment and over $229,000 to the sewer relocation in order to support the project and ensure its success. - A local entrepreneur who has developed a regional chain of restaurants invested $4 million in private funds to renovate an existing downtown building into a successful upscale restaurant at 215 S. Main St. - The City of Lima created an Energy Special Improvement District for the entire City. Two projects, the Chamber of Commerce renovation and a retail/services building in downtown Lima, were the first projects utilizing PACE funding. - Union Square Apartments, a $5.1 million facility, opened in 2015. Funding for the project was provided through LIHTC, OCCH, the Ohio Housing Trust Fund, First Merit Bank and the City of Lima. Future planned development includes: - Rhodes State College is locating its Center for Health Science Education and Innovation on Town Square. The project will result in a $20 million publicly funded, newly constructed facility. - Additional renovation is planned at The Met for live/work suites on the upper floors, estimated to include $3.3 million in private investment and $1.4 million in state and federal historic tax credits. - The owner/developer of The Met has acquired a former 43,000± square foot industrial building and intends to use $4 million in private funds and $1.7 million in state and federal historic tax credits to renovate the four-story building for a female-owned brewery, a restaurant, entertainment venue, office and residential space. The proposed development will result in an estimated 55 new jobs. - A private developer is planning renovation of a long vacant 34,000± square foot building into market-rate residential rental units with associated retail/services. An estimated $5 million of private funding is expected to be invested in the endeavor. - Interest has been expressed by several private investors in a long vacant and deteriorating historic building at 122 N. Elizabeth St. Renovation of the structure is encouraged by the City of Lima and Allen County Land Reutilization Corporation. - The owner of a commercial building at 338 N Main St. has invested approximately $1 million in building renovation but is unable to complete the project. An opportunity exists for an investor to make final improvements and lease commercial retail/office space at this location which would continue downtown revitalization northward. While property owners and investors are taking advantage of programs such as PACE, historic tax credits, and CRA tax abatements to support development, Census Tract 141 is still distressed and blighted. Iconic buildings built in the 1800?s and 1900?s are vacant and/or deteriorating and would benefit from additional incentives to encourage private investment. Lima has proven that it possesses interested investors and developers, such as Met Place Properties Ltd and Walter Development Enterprises Co., who have already invested their own funds, raised capital, and made commitments to invest future dollars. Census Tract 141 is also ripe for some of the estimated $1 million in new residential development due to the planned $15 million medical residency education facility to be constructed by Mercy Health (St. Rita?s Medical Center) in the adjacent Census Tract 129. All Census Tracts being proposed by Lima as Opportunity Zones are adjacent to one another, creating a contiguous development zone.","Like many urban downtown areas, this area does still exhibit blight and families in poverty. However, the downtown has begun to experience revitalization and there are strong opportunities for new investment adjacent to other qualifying Census Tracts.",21908,5731,813,813,648,165,567,-32.41716867469879,20.29520295202952
6,14000US39007000103,"Census Tract 1.03, Ashtabula, OH",3563,314,4197,3721,City of Conneaut,Ashtabula,39007000103,1,"Redevelopment of 66,000 sq. ft .brownfield building located on a 6 acre parcel. Property has been evaluated with VAP Phase 1 & Phase 2 and will require nearly $1,000,000 in remediation. Building is currently being considered for adaptive reuse by the City and purchase by manufacturer to relocate about 55 jobs and add 7 jobs. Redevelopment of 160,000 sq ft building on 11 acres (former GE facility) for occupancy by new manufacturer. Site is currently being pursued by two seperate manufactuers.",,34242,6063,1637,1637,1315,322,1167,-15.106028115320466,19.670128283445326
7,14000US39007000103,"Census Tract 1.03, Ashtabula, OH",3563,314,4197,3721,Finance Fund,Ashtabula,39007000103,35,2 projects funded through our CDFI.,There is a high likelihood of project completion.,34242,6063,1637,1637,1315,322,1167,-15.106028115320466,19.670128283445326
8,14000US39007000400,"Census Tract 4, Ashtabula, OH",1706,207,1930,1794,Ashtabula County,Ashtabula,39007000400,2,This is the area of the Ashtabula Harbor Port which has suffered from the closing of the Norfolk Southern coal dock. There is a possible private investment of $400 million and creation of 180 jobs. Lift Bridge Community Association is planning for vibrant riverfront development on east bank of Ashtabula River. This area has benefitted from the Ashtabula River Cleanup which cost $60 million in public and private funds.,This is adjacent to our 1st priority and is equally important to the renewal of Ashtabula County. A proposed natural gas pipeline will benefit both tracts.,26858,5349,746,746,654,92,682,-11.606217616580311,12.332439678284182
9,14000US39009972800,"Census Tract 9728, Athens, OH",4461,343,4267,4500,Buckeye Hills Regional Council,Athens,39009972800,3,"This tract encompasses a key central business area in the City of Nelsonville. This area has existing business activity and sufficient potential to warrant the Opportunity Zone designation based on our knowledge of existing projects and activities, as well as a general analysis of people and jobs per acre.",This is a key business district in the City of Nelsonville and Athens County.,27686,5150,1875,1875,1717,158,2161,4.546519803140379,8.426666666666668
