geoid,name,B01003001,"B01003001, Error"
14000US17031010100,"Census Tract 101, Cook, IL",4444,444
14000US17031010201,"Census Tract 102.01, Cook, IL",7197,787
14000US17031010202,"Census Tract 102.02, Cook, IL",2487,301
14000US17031010300,"Census Tract 103, Cook, IL",6413,540
14000US17031010400,"Census Tract 104, Cook, IL",5411,566
14000US17031010501,"Census Tract 105.01, Cook, IL",4081,444
14000US17031010502,"Census Tract 105.02, Cook, IL",2631,247
14000US17031010503,"Census Tract 105.03, Cook, IL",2047,348
14000US17031010600,"Census Tract 106, Cook, IL",6515,745
14000US17031010701,"Census Tract 107.01, Cook, IL",3833,361
14000US17031010702,"Census Tract 107.02, Cook, IL",5333,567
14000US17031020100,"Census Tract 201, Cook, IL",4208,461
14000US17031020200,"Census Tract 202, Cook, IL",6905,504
14000US17031020301,"Census Tract 203.01, Cook, IL",5295,407
14000US17031020302,"Census Tract 203.02, Cook, IL",5023,450
14000US17031020400,"Census Tract 204, Cook, IL",4551,380
14000US17031020500,"Census Tract 205, Cook, IL",6545,740
14000US17031020601,"Census Tract 206.01, Cook, IL",6130,597
14000US17031020602,"Census Tract 206.02, Cook, IL",4637,498
14000US17031020701,"Census Tract 207.01, Cook, IL",1729,180
14000US17031020702,"Census Tract 207.02, Cook, IL",7843,784
14000US17031020801,"Census Tract 208.01, Cook, IL",5211,528
14000US17031020802,"Census Tract 208.02, Cook, IL",7857,747
14000US17031020901,"Census Tract 209.01, Cook, IL",5807,639
14000US17031020902,"Census Tract 209.02, Cook, IL",4474,418
14000US17031030101,"Census Tract 301.01, Cook, IL",3549,418
14000US17031030102,"Census Tract 301.02, Cook, IL",2766,257
14000US17031030103,"Census Tract 301.03, Cook, IL",2217,299
14000US17031030104,"Census Tract 301.04, Cook, IL",3375,428
14000US17031030200,"Census Tract 302, Cook, IL",5103,556
14000US17031030300,"Census Tract 303, Cook, IL",3315,420
14000US17031030400,"Census Tract 304, Cook, IL",2708,256
14000US17031030500,"Census Tract 305, Cook, IL",6570,646
14000US17031030601,"Census Tract 306.01, Cook, IL",4066,534
14000US17031030603,"Census Tract 306.03, Cook, IL",2023,234
14000US17031030604,"Census Tract 306.04, Cook, IL",3225,322
14000US17031030701,"Census Tract 307.01, Cook, IL",1597,184
14000US17031030702,"Census Tract 307.02, Cook, IL",982,103
14000US17031030703,"Census Tract 307.03, Cook, IL",2680,296
14000US17031030706,"Census Tract 307.06, Cook, IL",4270,412
14000US17031030800,"Census Tract 308, Cook, IL",4376,426
14000US17031030900,"Census Tract 309, Cook, IL",3143,365
14000US17031031000,"Census Tract 310, Cook, IL",4078,342
14000US17031031100,"Census Tract 311, Cook, IL",4666,470
14000US17031031200,"Census Tract 312, Cook, IL",5720,649
