geoid,name,B01003001,"B01003001, Error"
14000US39001770100,"Census Tract 7701, Adams, OH",4493,301
14000US39001770200,"Census Tract 7702, Adams, OH",4998,346
14000US39001770300,"Census Tract 7703, Adams, OH",7133,500
14000US39001770400,"Census Tract 7704, Adams, OH",4149,316
14000US39001770500,"Census Tract 7705, Adams, OH",3567,324
14000US39001770600,"Census Tract 7706, Adams, OH",3586,315
14000US39003010100,"Census Tract 101, Allen, OH",4535,177
14000US39003010200,"Census Tract 102, Allen, OH",4076,231
14000US39003010300,"Census Tract 103, Allen, OH",1509,142
14000US39003010600,"Census Tract 106, Allen, OH",4899,266
14000US39003010800,"Census Tract 108, Allen, OH",7542,363
14000US39003010900,"Census Tract 109, Allen, OH",4641,345
14000US39003011000,"Census Tract 110, Allen, OH",5624,346
14000US39003011200,"Census Tract 112, Allen, OH",2759,240
14000US39003011300,"Census Tract 113, Allen, OH",7572,300
14000US39003011400,"Census Tract 114, Allen, OH",2967,29
14000US39003011500,"Census Tract 115, Allen, OH",2713,36
14000US39003011600,"Census Tract 116, Allen, OH",2650,135
14000US39003011800,"Census Tract 118, Allen, OH",2486,156
14000US39003011900,"Census Tract 119, Allen, OH",2907,189
14000US39003012000,"Census Tract 120, Allen, OH",2474,161
14000US39003012100,"Census Tract 121, Allen, OH",3553,158
14000US39003012200,"Census Tract 122, Allen, OH",3699,319
14000US39003012300,"Census Tract 123, Allen, OH",3813,387
14000US39003012400,"Census Tract 124, Allen, OH",2154,239
14000US39003012600,"Census Tract 126, Allen, OH",1863,205
14000US39003012700,"Census Tract 127, Allen, OH",1685,201
14000US39003012900,"Census Tract 129, Allen, OH",1641,280
14000US39003013000,"Census Tract 130, Allen, OH",4402,367
14000US39003013100,"Census Tract 131, Allen, OH",2482,211
14000US39003013200,"Census Tract 132, Allen, OH",2149,255
14000US39003013300,"Census Tract 133, Allen, OH",1222,274
14000US39003013400,"Census Tract 134, Allen, OH",2321,269
14000US39003013600,"Census Tract 136, Allen, OH",1147,141
14000US39003013700,"Census Tract 137, Allen, OH",1130,193
14000US39003013800,"Census Tract 138, Allen, OH",2942,371
14000US39003013900,"Census Tract 139, Allen, OH",3408,195
14000US39003014000,"Census Tract 140, Allen, OH",3397,195
14000US39003014100,"Census Tract 141, Allen, OH",1795,225
14000US39005970100,"Census Tract 9701, Ashland, OH",8281,383
14000US39005970200,"Census Tract 9702, Ashland, OH",5904,491
14000US39005970300,"Census Tract 9703, Ashland, OH",3759,235
14000US39005970400,"Census Tract 9704, Ashland, OH",3443,353
14000US39005970500,"Census Tract 9705, Ashland, OH",3054,310
14000US39005970600,"Census Tract 9706, Ashland, OH",5367,369
14000US39005970700,"Census Tract 9707, Ashland, OH",5344,330
14000US39005970800,"Census Tract 9708, Ashland, OH",4268,347
14000US39005970900,"Census Tract 9709, Ashland, OH",4960,291
14000US39005971000,"Census Tract 9710, Ashland, OH",5004,314
14000US39005971100,"Census Tract 9711, Ashland, OH",3915,272
14000US39007000101,"Census Tract 1.01, Ashtabula, OH",4994,290
14000US39007000102,"Census Tract 1.02, Ashtabula, OH",3151,252
14000US39007000103,"Census Tract 1.03, Ashtabula, OH",3563,314
14000US39007000200,"Census Tract 2, Ashtabula, OH",4329,237
14000US39007000300,"Census Tract 3, Ashtabula, OH",2106,182
14000US39007000400,"Census Tract 4, Ashtabula, OH",1706,207
14000US39007000500,"Census Tract 5, Ashtabula, OH",4535,286
14000US39007000601,"Census Tract 6.01, Ashtabula, OH",2514,342
14000US39007000602,"Census Tract 6.02, Ashtabula, OH",3308,204
14000US39007000603,"Census Tract 6.03, Ashtabula, OH",4361,283
14000US39007000701,"Census Tract 7.01, Ashtabula, OH",2897,308
14000US39007000702,"Census Tract 7.02, Ashtabula, OH",2424,210
14000US39007000703,"Census Tract 7.03, Ashtabula, OH",3702,389
14000US39007000704,"Census Tract 7.04, Ashtabula, OH",3588,390
14000US39007000801,"Census Tract 8.01, Ashtabula, OH",1834,209
14000US39007000802,"Census Tract 8.02, Ashtabula, OH",5005,385
14000US39007000900,"Census Tract 9, Ashtabula, OH",4708,358
14000US39007001001,"Census Tract 10.01, Ashtabula, OH",5264,378
14000US39007001002,"Census Tract 10.02, Ashtabula, OH",3425,388
14000US39007001101,"Census Tract 11.01, Ashtabula, OH",1896,152
14000US39007001102,"Census Tract 11.02, Ashtabula, OH",5786,217
14000US39007001200,"Census Tract 12, Ashtabula, OH",7638,778
14000US39007001301,"Census Tract 13.01, Ashtabula, OH",3310,430
14000US39007001302,"Census Tract 13.02, Ashtabula, OH",4504,628
14000US39007001400,"Census Tract 14, Ashtabula, OH",8074,567
14000US39007990000,"Census Tract 9900, Ashtabula, OH",0,11
14000US39009972600,"Census Tract 9726, Athens, OH",4357,192
14000US39009972700,"Census Tract 9727, Athens, OH",4055,358
14000US39009972800,"Census Tract 9728, Athens, OH",4461,343
14000US39009972900,"Census Tract 9729, Athens, OH",5672,467
14000US39009973000,"Census Tract 9730, Athens, OH",3786,362
14000US39009973101,"Census Tract 9731.01, Athens, OH",4504,349
