,Associate's degree,Bachelor's degree,Graduate or professional degree,High school diploma or GED,Less than 9th grade,Some college,Some high school
10100,2.12%,17.4%,13.5%,16.4%,0.0065,25.9%,6.11%
10201,4.45%,18.9%,7.45%,17.3%,0.0958,17.8%,8.44%
10202,4.47%,15.7%,8.74%,12.4%,0.0758,14.5%,6.6%
10300,3.6%,13.4%,13.5%,17.0%,0.0352,13.2%,7.45%
10400,3.04%,15.7%,14.9%,6.92%,0.0079,6.62%,0.0%
10501,1.14%,23.2%,18.9%,11.7%,0.0009,16.4%,3.65%
10502,4.15%,21.7%,14.4%,6.42%,0.0033,19.3%,3.65%
10503,0.89%,10.8%,11.2%,7.5%,0.0052,6.51%,3.25%
10600,6.92%,19.1%,16.1%,13.7%,0.039599999999999996,15.0%,2.12%
10701,2.34%,19.0%,16.2%,18.4%,0.11050000000000001,10.3%,2.62%
10702,3.75%,22.1%,13.6%,14.6%,0.122,11.6%,5.16%
20100,4.6%,16.7%,6.72%,14.7%,0.0556,16.8%,9.56%
20200,3.07%,18.9%,15.7%,11.8%,0.008,16.5%,7.58%
20301,3.3%,21.1%,13.1%,9.78%,0.0084,7.33%,3.12%
20302,4.61%,24.5%,15.4%,12.2%,0.012999999999999998,8.48%,2.95%
20400,3.08%,19.4%,15.2%,18.1%,0.0442,8.64%,3.21%
20500,2.56%,17.8%,7.91%,18.3%,0.12069999999999999,6.88%,7.37%
20601,2.89%,17.6%,8.49%,18.5%,0.054000000000000006,10.6%,3.99%
20602,3.47%,20.2%,11.6%,14.1%,0.0441,14.0%,5.68%
20701,6.61%,19.8%,16.8%,16.8%,0.0198,9.5%,1.59%
20702,5.86%,16.0%,4.87%,15.5%,0.06689999999999999,14.4%,7.7%
20801,8.12%,14.1%,11.6%,10.1%,0.0897,12.8%,5.48%
20802,4.31%,16.5%,9.68%,17.9%,0.1223,12.6%,4.58%
20901,4.39%,20.0%,10.8%,19.0%,0.0541,14.4%,7.02%
20902,6.77%,17.2%,6.09%,20.6%,0.11080000000000001,6.39%,3.99%
30101,4.51%,29.7%,12.8%,15.7%,0.0295,11.8%,2.64%
30102,7.67%,25.4%,12.9%,11.1%,0.0075,17.4%,2.33%
30103,3.73%,21.1%,17.3%,2.98%,0.0042,8.87%,0.0%
30104,1.78%,10.5%,6.09%,6.43%,0.0132,5.65%,0.76%
30200,3.36%,25.3%,25.2%,7.26%,0.009,12.1%,3.53%
30300,4.86%,18.8%,9.88%,19.9%,0.09,14.8%,2.67%
30400,2.21%,29.1%,18.5%,11.3%,0.0,10.2%,3.94%
30500,4.75%,27.4%,23.1%,12.3%,0.0271,10.1%,2.54%
30601,2.47%,21.3%,15.3%,17.5%,0.053500000000000006,6.44%,2.44%
30603,3.55%,24.2%,20.8%,22.8%,0.0219,13.6%,2.98%
30604,1.95%,25.9%,16.0%,9.81%,0.0038,19.5%,0.72%
30701,7.38%,25.0%,12.1%,9.42%,0.0406,16.8%,4.06%
30702,6.77%,29.5%,26.9%,4.34%,0.0,5.28%,2.65%
30703,5.17%,25.4%,18.9%,3.97%,0.0291,10.1%,5.27%
30706,0.6%,26.0%,13.4%,13.4%,0.0287,10.6%,1.65%
30800,2.75%,28.8%,23.7%,9.14%,0.0146,1.66%,3.69%
30900,4.99%,30.0%,19.0%,6.0%,0.0085,13.0%,5.23%
31000,2.65%,30.8%,24.7%,8.5%,0.0062,8.79%,2.15%
31100,4.6%,35.2%,13.9%,7.03%,0.0529,9.68%,2.35%
31200,1.38%,26.5%,10.9%,19.3%,0.0432,7.93%,9.82%
31300,3.62%,24.3%,12.7%,12.2%,0.0086,10.7%,2.16%
31400,3.81%,35.9%,25.0%,3.19%,0.004,5.26%,0.38%
31501,2.01%,20.2%,10.1%,12.9%,0.06620000000000001,13.2%,6.36%
31502,5.6%,21.3%,7.89%,16.4%,0.0322,14.8%,7.15%
31700,4.14%,29.5%,16.7%,13.5%,0.0104,11.4%,4.2%
31800,4.55%,41.1%,22.5%,8.79%,0.009899999999999999,7.45%,2.77%
31900,4.84%,37.9%,16.8%,6.38%,0.0217,6.22%,5.23%
32100,4.02%,35.0%,16.3%,8.9%,0.0008,8.05%,1.67%
40100,3.04%,31.3%,19.6%,7.08%,0.032299999999999995,10.3%,4.86%
40201,3.88%,36.6%,14.8%,7.38%,0.0412,13.5%,2.13%
40202,4.94%,23.1%,13.4%,16.2%,0.0228,12.0%,3.28%
40300,4.41%,20.1%,19.8%,7.39%,0.024,11.0%,3.96%
40401,3.87%,34.2%,28.8%,9.07%,0.011800000000000001,7.32%,1.29%
40402,1.0%,37.4%,34.4%,4.8%,0.0027,9.03%,0.0%
40600,3.98%,34.4%,28.8%,6.42%,0.0046,7.06%,1.72%
40700,3.7%,38.9%,20.8%,6.82%,0.0413,8.01%,3.37%
40800,4.37%,34.0%,24.1%,4.29%,0.0,9.04%,3.89%
40900,4.12%,39.2%,26.9%,2.83%,0.0047,12.7%,0.0%
50100,1.59%,40.4%,26.6%,4.0%,0.0056,8.75%,3.21%
50200,1.34%,32.2%,19.8%,4.26%,0.0291,14.9%,0.48%
50300,2.7%,30.7%,20.0%,9.02%,0.0,10.3%,4.69%
50500,2.27%,39.7%,25.0%,6.71%,0.0015,5.77%,2.27%
50600,2.34%,44.5%,25.9%,3.28%,0.0,8.74%,0.0%
50700,0.47%,36.0%,36.4%,2.84%,0.0,5.77%,1.59%
50800,0.36%,44.5%,27.4%,5.05%,0.0,5.42%,1.35%
50900,4.2%,36.6%,24.4%,5.66%,0.0,14.7%,0.0%
51000,3.08%,38.2%,30.7%,2.49%,0.0331,9.77%,0.9%
51100,0.88%,38.2%,26.5%,4.92%,0.039599999999999996,5.16%,0.0%
51200,4.32%,40.4%,29.9%,3.26%,0.0195,4.56%,3.75%
51300,0.0%,42.6%,33.6%,3.49%,0.0038,6.36%,1.15%
51400,1.73%,38.6%,24.0%,5.47%,0.016,10.2%,2.43%
60100,3.83%,35.2%,30.8%,3.51%,0.0,8.09%,0.55%
60200,1.96%,44.2%,19.4%,4.48%,0.0427,6.75%,0.37%
60300,2.01%,41.5%,26.4%,4.51%,0.006,7.26%,0.0%
60400,0.5%,38.9%,25.2%,8.61%,0.0,4.78%,0.0%
60500,0.0%,23.7%,16.2%,4.77%,0.0124,11.2%,0.0%
60800,3.82%,44.2%,23.6%,3.04%,0.002,5.34%,0.27%
60900,4.51%,31.4%,20.5%,7.59%,0.0062,8.07%,3.13%
61000,0.25%,37.7%,23.1%,3.15%,0.0,9.78%,0.0%
61100,2.45%,38.6%,18.3%,0.77%,0.0,6.37%,0.0%
61200,1.24%,46.8%,22.5%,0.62%,0.0,4.91%,0.0%
61500,3.27%,38.0%,27.8%,2.26%,0.0036,7.71%,0.0%
61800,4.2%,33.6%,17.1%,5.63%,0.0071,8.22%,0.98%
61901,1.62%,36.7%,34.2%,2.94%,0.0,5.75%,0.43%
61902,4.08%,33.6%,21.6%,3.49%,0.0,6.71%,0.0%
62000,2.41%,43.3%,22.7%,5.62%,0.0004,5.73%,0.6%
62100,3.08%,35.6%,20.9%,3.36%,0.0,7.03%,0.69%
62200,0.9%,43.9%,21.6%,5.67%,0.0,4.65%,0.67%
62300,1.6%,42.8%,32.2%,3.04%,0.0,4.27%,0.43%
62400,1.09%,45.6%,34.0%,2.02%,0.005,1.43%,0.84%
62500,2.48%,45.8%,32.6%,0.91%,0.0,2.63%,0.0%
62600,1.71%,38.9%,37.6%,1.64%,0.0106,5.37%,0.24%
62700,2.29%,32.9%,27.2%,1.88%,0.0211,10.1%,0.0%
62800,1.02%,49.0%,28.7%,2.34%,0.0033,3.26%,0.85%
62900,1.7%,44.9%,22.8%,2.41%,0.0023,6.09%,0.0%
63000,3.1%,46.9%,31.9%,1.44%,0.0,3.97%,0.25%
63100,2.08%,39.5%,28.9%,4.34%,0.0,4.73%,0.14%
63200,2.91%,32.4%,24.9%,3.29%,0.0,7.88%,1.26%
63301,2.33%,30.8%,17.3%,2.81%,0.009600000000000001,7.84%,0.0%
63302,1.8%,36.6%,24.7%,2.56%,0.0,3.37%,0.0%
63303,1.18%,23.2%,14.3%,1.65%,0.0071,3.38%,0.0%
63400,5.31%,45.3%,25.3%,1.96%,0.0117,4.33%,0.0%
70101,0.96%,35.8%,23.2%,1.89%,0.0,2.82%,0.0%
70102,3.09%,34.6%,28.2%,3.08%,0.0048,7.35%,1.47%
70103,2.66%,32.7%,20.6%,0.73%,0.0,3.47%,1.13%
70200,0.73%,38.1%,34.1%,2.67%,0.0028,3.99%,0.0%
